month;soil.depth;dist;soil.moist;rep
E-2018;P4-50;D1-0.5;7,143;a
E-2018;P4-50;D1-0.5;4,727;b
E-2018;P4-50;D1-0.5;4,638;c
E-2018;P4-50;D2-1.5;4,405;a
E-2018;P4-50;D2-1.5;3,947;b
E-2018;P4-50;D2-1.5;3,503;c
E-2018;P4-50;ctrl-S/B;5,2;a
E-2018;P4-50;ctrl-S/B;3,23;b
E-2018;P4-50;ctrl-S/B;2,99;c
F-2018;P1-20;D0;4,157;a
F-2018;P1-20;D0;7,075;b
F-2018;P1-20;D0;3,022;c
F-2018;P1-20;D1-0.5;8,812;a
F-2018;P1-20;D1-0.5;4,021;b
F-2018;P1-20;D1-0.5;4,042;c
F-2018;P1-20;D2-1.5;8,468;a
F-2018;P1-20;D2-1.5;8,082;b
F-2018;P1-20;D2-1.5;4,754;c
F-2018;P1-20;ctrl-S/B;6,696;a
F-2018;P1-20;ctrl-S/B;5,779;b
F-2018;P1-20;ctrl-S/B;5,696;c
F-2018;P2-30;D0;3,586;a
F-2018;P2-30;D0;5,408;b
F-2018;P2-30;D0;3,914;c
F-2018;P2-30;D1-0.5;5,377;a
F-2018;P2-30;D1-0.5;5,577;b
F-2018;P2-30;D1-0.5;3,696;c
F-2018;P2-30;D2-1.5;5,385;a
F-2018;P2-30;D2-1.5;6,312;b
F-2018;P2-30;D2-1.5;4,067;c
F-2018;P2-30;ctrl-S/B;4,87;a
F-2018;P2-30;ctrl-S/B;5,33;b
F-2018;P2-30;ctrl-S/B;4,17;c
F-2018;P3-40;D0;5,354;a
F-2018;P3-40;D0;4,947;b
F-2018;P3-40;D0;4,824;c
F-2018;P3-40;D1-0.5;6,825;a
F-2018;P3-40;D1-0.5;4,907;b
F-2018;P3-40;D1-0.5;8,176;c
F-2018;P3-40;D2-1.5;6,486;a
F-2018;P3-40;D2-1.5;5,395;b
F-2018;P3-40;D2-1.5;7,634;c
F-2018;P3-40;ctrl-S/B;4,83;a
F-2018;P3-40;ctrl-S/B;5,21;b
F-2018;P3-40;ctrl-S/B;5;c
F-2018;P4-50;D0;6,756;a
F-2018;P4-50;D0;5,316;b
F-2018;P4-50;D0;5,818;c
F-2018;P4-50;D1-0.5;10,983;a
F-2018;P4-50;D1-0.5;6,719;b
F-2018;P4-50;D1-0.5;8,024;c
F-2018;P4-50;D2-1.5;8,933;a
F-2018;P4-50;D2-1.5;8,473;b
F-2018;P4-50;D2-1.5;5,659;c
F-2018;P4-50;ctrl-S/B;6,59;a
F-2018;P4-50;ctrl-S/B;7,016;b
F-2018;P4-50;ctrl-S/B;7,33;c
MR-2018;P1-20;D0;12,577;a
MR-2018;P1-20;D0;6,588;b
MR-2018;P1-20;D0;9,386;c
MR-2018;P1-20;D1-0.5;12,607;a
MR-2018;P1-20;D1-0.5;15,067;b
MR-2018;P1-20;D1-0.5;8,449;c
MR-2018;P1-20;D2-1.5;14,291;a
MR-2018;P1-20;D2-1.5;15,596;b
MR-2018;P1-20;D2-1.5;11,787;c
MR-2018;P1-20;ctrl-S/B;9,58;a
MR-2018;P1-20;ctrl-S/B;10,45;b
MR-2018;P1-20;ctrl-S/B;7,59;c
MR-2018;P2-30;D0;12,496;a
MR-2018;P2-30;D0;7,685;b
MR-2018;P2-30;D0;12,2;c
MR-2018;P2-30;D1-0.5;10,876;a
MR-2018;P2-30;D1-0.5;8,179;b
MR-2018;P2-30;D1-0.5;11,37;c
MR-2018;P2-30;D2-1.5;10,669;a
MR-2018;P2-30;D2-1.5;11,918;b
MR-2018;P2-30;D2-1.5;12,725;c
MR-2018;P2-30;ctrl-S/B;9,67;a
MR-2018;P2-30;ctrl-S/B;10,043;b
MR-2018;P2-30;ctrl-S/B;7,23;c
MR-2018;P3-40;D0;11,467;a
MR-2018;P3-40;D0;10,1;b
MR-2018;P3-40;D0;9,484;c
MR-2018;P3-40;D1-0.5;10,873;a
MR-2018;P3-40;D1-0.5;9,784;b
MR-2018;P3-40;D1-0.5;8,39;c
MR-2018;P3-40;D2-1.5;12,937;a
MR-2018;P3-40;D2-1.5;8,618;b
MR-2018;P3-40;D2-1.5;11,022;c
MR-2018;P3-40;ctrl-S/B;9,5;a
MR-2018;P3-40;ctrl-S/B;8,985;b
MR-2018;P3-40;ctrl-S/B;11,502;c
MR-2018;P4-50;D0;14,826;a
MR-2018;P4-50;D0;9,118;b
MR-2018;P4-50;D0;7,257;c
MR-2018;P4-50;D1-0.5;11,999;a
MR-2018;P4-50;D1-0.5;8,623;b
MR-2018;P4-50;D1-0.5;9,331;c
MR-2018;P4-50;D2-1.5;14,038;a
MR-2018;P4-50;D2-1.5;12,082;b
MR-2018;P4-50;D2-1.5;7,303;c
MR-2018;P4-50;ctrl-S/B;11,4;a
MR-2018;P4-50;ctrl-S/B;10,04;b
MR-2018;P4-50;ctrl-S/B;8,412;c
AB-2018;P1-20;D0;8,692;a
AB-2018;P1-20;D0;7,143;b
AB-2018;P1-20;D0;10,385;c
